Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds?,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb
1,Cooper Kupp*+\KuppCo00,LAR,28,WR,17,17,191,145,0.759,1947,13.4,16,89,59,10.2,8.5,114.5,0
2,Justin Jefferson*\JeffJu00,MIN,22,WR,17,17,167,108,0.647,1616,15,10,75,56,9.7,6.4,95.1,1
3,Davante Adams*+\AdamDa01,GNB,29,WR,16,16,169,123,0.728,1553,12.6,11,84,59,9.2,7.7,97.1,0
4,Ja'Marr Chase*\ChasJa00,CIN,21,WR,17,17,128,81,0.633,1455,18,13,56,82,11.4,4.8,85.6,2
5,Deebo Samuel*+\SamuDe00,SFO,25,WR,16,15,121,77,0.636,1405,18.2,6,51,83,11.6,4.8,87.8,4
6,Mark Andrews*+\AndrMa00,BAL,26,te,17,9,153,107,0.699,1361,12.7,9,75,43,8.9,6.3,80.1,1
7,Tyreek Hill*\HillTy00,KAN,27,WR,17,16,159,111,0.698,1239,11.2,9,75,75,7.8,6.5,72.9,2
8,Stefon Diggs*\DiggSt00,BUF,28,WR,17,17,164,103,0.628,1225,11.9,10,66,61,7.5,6.1,72.1,1
9,Tyler Lockett\LockTy00,SEA,29,WR,16,16,107,73,0.682,1175,16.1,8,41,69,11,4.6,73.4,0
10,Diontae Johnson*\JohnDi01,PIT,25,WR,16,14,169,107,0.633,1161,10.9,8,59,50,6.9,6.7,72.6,2
11,D.J. Moore\MoorD.00,CAR,24,WR,17,17,163,93,0.571,1157,12.4,4,60,64,7.1,5.5,68.1,1
12,Mike Williams\WillMi07,LAC,27,WR,16,14,129,76,0.589,1146,15.1,9,51,72,8.9,4.8,71.6,0
13,Keenan Allen*\AlleKe00,LAC,29,WR,16,16,157,106,0.675,1138,10.7,6,66,42,7.2,6.6,71.1,1
14,Travis Kelce*\KelcTr00,KAN,32,TE,16,16,134,92,0.687,1125,12.2,9,63,69,8.4,5.8,70.3,1
15,Chris Godwin\GodwCh00,TAM,25,WR,14,14,127,98,0.772,1103,11.3,5,55,44,8.7,7,78.8,2
16,CeeDee Lamb*\LambCe00,DAL,22,WR,16,13,120,79,0.658,1102,13.9,6,54,49,9.2,4.9,68.9,0
17,Tee Higgins\HiggTe00,CIN,22,WR,14,14,110,74,0.673,1091,14.7,6,53,54,9.9,5.3,77.9,1
18,Michael Pittman Jr.\PittMi01,IND,24,WR,17,17,129,88,0.682,1082,12.3,6,54,57,8.4,5.2,63.6,1
19,Darnell Mooney\MoonDa00,CHI,24,WR,17,14,140,81,0.579,1055,13,4,49,64,7.5,4.8,62.1,0
20,Terry McLaurin\McLaTe00,WAS,26,WR,17,17,130,77,0.592,1053,13.7,5,47,46,8.1,4.5,61.9,0
21,Hunter Renfrow*\RenfHu00,LVR,26,wr,17,9,128,103,0.805,1038,10.1,9,51,54,8.1,6.1,61.1,5
22,Brandin Cooks\CookBr00,HOU,28,WR,16,16,134,90,0.672,1037,11.5,6,45,52,7.7,5.6,64.8,0
23,Mike Evans*\EvanMi00,TAM,28,WR,16,16,114,74,0.649,1035,14,14,56,46,9.1,4.6,64.7,0
24,Kyle Pitts*\PittKy00,ATL,21,TE,17,15,110,68,0.618,1026,15.1,1,43,61,9.3,4,60.4,0
25,Jaylen Waddle\WaddJa00,MIA,23,WR,16,16,140,104,0.743,1015,9.8,6,59,57,7.3,6.5,63.4,2
26,Marquise Brown\BrowMa04,BAL,24,WR,16,16,146,91,0.623,1008,11.1,6,41,49,6.9,5.7,63,3
27,Christian Kirk\KirkCh01,ARI,25,WR,17,11,103,77,0.748,982,12.8,5,44,50,9.5,4.5,57.8,0
28,D.K. Metcalf\MetcDK00,SEA,24,WR,17,17,129,75,0.581,967,12.9,12,48,84,7.5,4.4,56.9,1
29,DeVonta Smith\SmitDe07,PHI,23,WR,17,16,104,64,0.615,916,14.3,5,43,46,8.8,3.8,53.9,1
30,Amon-Ra St. Brown\StxxAm00,DET,22,wr,17,9,119,90,0.756,912,10.1,5,48,37,7.7,5.3,53.6,0
31,George Kittle*\KittGe00,SFO,28,TE,14,14,94,71,0.755,910,12.8,6,42,48,9.7,5.1,65,2
32,A.J. Brown\BrowAJ00,TEN,24,WR,13,13,105,63,0.6,869,13.8,5,45,57,8.3,4.8,66.8,0
33,Jakobi Meyers\MeyeJa01,NWE,25,WR,17,16,126,83,0.659,866,10.4,2,42,39,6.9,4.9,50.9,1
34,Amari Cooper\CoopAm00,DAL,27,WR,15,14,104,68,0.654,865,12.7,8,45,41,8.3,4.5,57.7,1
35,Chase Claypool\ClayCh01,PIT,23,WR,15,13,105,59,0.562,860,14.6,2,35,59,8.2,3.9,57.3,0
36,A.J. Green\GreeA.00,ARI,33,wr,16,9,92,54,0.587,848,15.7,3,37,42,9.2,3.4,53,0
37,Marvin Jones\JoneMa02,JAX,31,WR,17,16,120,73,0.608,832,11.4,4,42,33,6.9,4.3,48.9,0
38,Dallas Goedert\GoedDa00,PHI,26,TE,15,14,76,56,0.737,830,14.8,4,42,45,10.9,3.7,55.3,1
39,Tyler Boyd\BoydTy00,CIN,27,wr,16,10,94,67,0.713,828,12.4,5,37,68,8.8,4.2,51.8,1
40,Brandon Aiyuk\AiyuBr00,SFO,23,WR,17,16,84,56,0.667,826,14.8,5,37,43,9.8,3.3,48.6,2
41,Dalton Schultz\SchuDa00,DAL,25,TE,17,15,104,78,0.75,808,10.4,8,43,32,7.8,4.6,47.5,0
42,Rob Gronkowski\GronRo00,TAM,32,TE,12,12,89,55,0.618,802,14.6,6,34,42,9,4.6,66.8,0
43,Van Jefferson\JeffVa00,LAR,25,WR,17,17,89,50,0.562,802,16,6,32,79,9,2.9,47.2,0
44,Kendrick Bourne\BourKe00,NWE,26,wr,17,5,70,55,0.786,800,14.5,5,27,75,11.4,3.2,47.1,1
45,Mike Gesicki\GesiMi00,MIA,26,te,17,9,112,73,0.652,780,10.7,2,39,40,7,4.3,45.9,0
46,Courtland Sutton\SuttCo00,DEN,26,WR,17,16,98,58,0.592,776,13.4,2,35,55,7.9,3.4,45.6,0
47,Russell Gage\GageRu00,ATL,25,wr,14,9,94,66,0.702,770,11.7,4,37,49,8.2,4.7,55,2
48,Zach Ertz\ErtzZa00,2TM,31,,17,14,112,74,0.661,763,10.3,5,40,47,6.8,4.4,44.9,0
49,Tim Patrick\PatrTi00,DEN,28,WR,16,16,85,53,0.624,734,13.8,5,39,44,8.6,3.3,45.9,0
50,Adam Thielen\ThieAd00,MIN,31,WR,13,13,95,67,0.705,726,10.8,10,37,35,7.6,5.2,55.8,1
51,Marquez Callaway\CallMa01,NOR,23,WR,17,11,84,46,0.548,698,15.2,6,32,58,8.3,2.7,41.1,0
52,Cole Beasley\BeasCo00,BUF,32,wr,16,8,112,82,0.732,693,8.5,1,34,29,6.2,5.1,43.3,1
53,Mecole Hardman\HardMe00,KAN,23,wr,17,8,83,59,0.711,693,11.7,2,33,53,8.3,3.5,40.8,3
54,Noah Fant\FantNo00,DEN,24,TE,16,16,90,68,0.756,670,9.9,4,29,35,7.4,4.3,41.9,0
55,Darren Waller\WallDa01,LVR,29,TE,11,11,93,55,0.591,665,12.1,2,31,33,7.2,5,60.5,0
56,K.J. Osborn\OsboKJ00,MIN,24,wr,17,9,82,50,0.61,655,13.1,7,26,64,8,2.9,38.5,0
57,Austin Ekeler\EkelAu00,LAC,26,RB,16,16,94,70,0.745,647,9.2,8,31,40,6.9,4.4,40.4,4
58,Quez Watkins\WatkQu00,PHI,23,WR,17,12,62,43,0.694,647,15,1,25,91,10.4,2.5,38.1,0
59,Emmanuel Sanders\SandEm00,BUF,34,WR,14,13,72,42,0.583,626,14.9,4,31,41,8.7,3,44.7,0
60,Laviska Shenault Jr.\ShenLa00,JAX,23,wr,16,10,100,63,0.63,619,9.8,0,30,58,6.2,3.9,38.7,1
61,Cole Kmet\KmetCo00,CHI,22,TE,17,17,93,60,0.645,612,10.2,0,29,25,6.6,3.5,36,0
62,Hunter Henry\HenrHu00,NWE,27,te,17,10,75,50,0.667,603,12.1,9,34,35,8,2.9,35.5,0
63,Cedrick Wilson Jr.\WilsCe01,DAL,26,wr,16,4,61,45,0.738,602,13.4,6,27,73,9.9,2.8,37.6,3
64,Donovan Peoples-Jones\PeopDo00,CLE,22,wr,14,9,58,34,0.586,597,17.6,3,26,60,10.3,2.4,42.6,2
65,Tyler Conklin\ConkTy00,MIN,26,TE,17,15,87,61,0.701,593,9.7,3,26,40,6.8,3.6,34.9,1
66,Dawson Knox\KnoxDa00,BUF,25,TE,15,14,71,49,0.69,587,12,9,31,53,8.3,3.3,39.1,0
67,T.J. Hockenson\HockTJ00,DET,24,TE,12,12,84,61,0.726,583,9.6,4,32,33,6.9,5.1,48.6,0
68,Kalif Raymond\RaymKa00,DET,27,WR,16,14,71,48,0.676,576,12,4,28,75,8.1,3,36,0
69,DeAndre Hopkins\HopkDe00,ARI,29,wr,10,10,64,42,0.656,572,13.6,8,32,55,8.9,4.2,57.2,0
70,Bryan Edwards\EdwaBr01,LVR,23,WR,16,12,59,34,0.576,571,16.8,3,26,51,9.7,2.1,35.7,1
71,Jarvis Landry\LandJa00,CLE,29,,12,12,87,52,0.598,570,11,2,30,38,6.6,4.3,47.5,3
72,Deonte Harris\HarrDe07,NOR,24,wr,13,1,59,36,0.61,570,15.8,3,23,72,9.7,2.8,43.8,2
73,Byron Pringle\PrinBy00,KAN,28,wr,17,5,60,42,0.7,568,13.5,5,32,40,9.5,2.5,33.4,2
74,Jared Cook\CookJa02,LAC,34,te,16,10,83,48,0.578,564,11.8,4,31,42,6.8,3,35.3,0
75,Tyler Higbee\HigbTy00,LAR,28,TE,15,15,85,61,0.718,560,9.2,5,33,37,6.6,4.1,37.3,1
76,Robert Woods\WoodRo02,LAR,29,wr,9,9,69,45,0.652,556,12.4,4,34,28,8.1,5,61.8,0
77,Gabriel Davis\DaviGa01,BUF,22,wr,16,4,63,35,0.556,549,15.7,6,29,49,8.7,2.2,34.3,0
78,Cordarrelle Patterson\PattCo00,ATL,30,RB,16,13,69,52,0.754,548,10.5,5,26,64,7.9,3.3,34.3,2
79,Zay Jones\JoneZa00,LVR,26,wr,17,9,70,47,0.671,546,11.6,1,29,43,7.8,2.8,32.1,1
80,Antonio Brown\BrowAn04,TAM,33,,7,3,62,42,0.677,545,13,4,29,62,8.8,6,77.9,0
81,Elijah Moore\MoorEl00,NYJ,21,wr,11,6,77,43,0.558,538,12.5,5,24,62,7,3.9,48.9,0
82,Odell Beckham Jr.\BeckOd00,2TM,29,,14,13,82,44,0.537,537,12.2,5,27,54,6.5,3.1,38.4,0
83,Kenny Golladay\GollKe00,NYG,28,WR,14,14,76,37,0.487,521,14.1,0,27,36,6.9,2.6,37.2,0
84,Robby Anderson\AndeRo04,CAR,28,WR,17,16,110,53,0.482,519,9.8,5,27,57,4.7,3.1,30.5,0
85,Rashod Bateman\BateRa00,BAL,22,wr,12,4,68,46,0.676,515,11.2,1,29,36,7.6,3.8,42.9,0
86,DeVante Parker\ParkDe01,MIA,28,wr,10,8,73,40,0.548,515,12.9,2,29,42,7.1,4,51.5,0
87,Allen Lazard\LazaAl00,GNB,26,WR,15,13,60,40,0.667,513,12.8,8,28,42,8.6,2.7,34.2,0
88,Pat Freiermuth\FreiPa00,PIT,23,te,16,9,79,60,0.759,497,8.3,7,34,24,6.3,3.8,31.1,1
89,C.J. Uzomah\UzomC.00,CIN,28,TE,16,16,63,49,0.778,493,10.1,5,24,55,7.8,3.1,30.8,0
90,Corey Davis\DaviCo03,NYJ,26,wr,9,9,59,34,0.576,492,14.5,4,23,53,8.3,3.8,54.7,2
91,Gerald Everett\EverGe00,SEA,27,,15,12,63,48,0.762,478,10,4,26,41,7.6,3.2,31.9,2
92,Nick Westbrook-Ikhine\WestNi00,TEN,24,wr,16,7,57,38,0.667,476,12.5,4,23,46,8.4,2.4,29.8,1
93,David Njoku\NjokDa00,CLE,25,TE,16,11,53,36,0.679,475,13.2,4,17,71,9,2.3,29.7,0
94,Nelson Agholor\AghoNe00,NWE,28,WR,15,13,64,37,0.578,473,12.8,3,23,44,7.4,2.5,31.5,0
95,Henry Ruggs III\RuggHe00,LVR,22,,7,7,36,24,0.667,469,19.5,2,16,61,13,3.4,67,0
96,Najee Harris*\HarrNa00,PIT,23,RB,17,17,94,74,0.787,467,6.3,3,22,25,5,4.4,27.5,0
97,Jerry Jeudy\JeudJe00,DEN,22,wr,10,5,56,38,0.679,467,12.3,0,22,40,8.3,3.8,46.7,1
98,Leonard Fournette\FourLe00,TAM,26,RB,14,13,84,69,0.821,454,6.6,2,30,23,5.4,4.9,32.4,1
99,DeSean Jackson\JackDe00,2TM,35,,16,4,34,20,0.588,454,22.7,2,12,75,13.4,1.3,28.4,1
100,D'Andre Swift\SwifDA00,DET,22,rb,13,4,78,62,0.795,452,7.3,2,18,63,5.8,4.8,34.8,2
101,Darrel Williams\WillDa10,KAN,26,rb,17,7,57,47,0.825,452,9.6,2,19,38,7.9,2.8,26.6,0
102,Keelan Cole\ColeKe00,NYJ,28,WR,15,11,51,28,0.549,449,16,1,20,54,8.8,1.9,29.9,0
103,Jalen Guyton\GuytJa01,LAC,24,wr,16,2,48,31,0.646,448,14.5,3,21,59,9.3,1.9,28,1
104,Jamison Crowder\CrowJa00,NYJ,28,wr,12,4,71,51,0.718,447,8.8,2,24,29,6.3,4.3,37.3,1
105,Nico Collins\CollNi00,HOU,22,wr,14,8,60,33,0.55,446,13.5,1,22,32,7.4,2.4,31.9,0
106,Michael Gallup\GallMi00,DAL,25,wr,9,8,62,35,0.565,445,12.7,2,23,41,7.2,3.9,49.4,0
107,Alvin Kamara*\KamaAl00,NOR,26,rb,13,10,67,47,0.701,439,9.3,5,20,31,6.6,3.6,33.8,0
108,Rondale Moore\MoorRo02,ARI,21,wr,14,7,64,54,0.844,435,8.1,1,18,77,6.8,3.9,31.1,3
109,Laquon Treadwell\TreaLa00,JAX,26,wr,12,7,51,33,0.647,434,13.2,1,22,41,8.5,2.8,36.2,0
110,Julio Jones\JoneJu02,TEN,32,wr,10,10,48,31,0.646,434,14,1,19,51,9,3.1,43.4,0
111,Braxton Berrios+\BerrBr00,NYJ,26,wr,16,1,65,46,0.708,431,9.4,2,21,46,6.6,2.9,26.9,1
112,Marquez Valdes-Scantling\ValdMa00,GNB,27,wr,11,7,55,26,0.473,430,16.5,3,18,75,7.8,2.4,39.1,0
113,Kadarius Toney\ToneKa00,NYG,22,wr,10,4,57,39,0.684,420,10.8,0,21,38,7.4,3.9,42,0
114,Allen Robinson\RobiAl02,CHI,28,WR,12,11,66,38,0.576,410,10.8,1,22,39,6.2,3.2,34.2,0
115,Evan Engram\EngrEv00,NYG,27,TE,15,12,73,46,0.63,408,8.9,3,21,30,5.6,3.1,27.2,1
116,Dan Arnold\ArnoDa00,2TM,26,,11,4,52,35,0.673,408,11.7,0,20,28,7.8,3.2,37.1,1
117,Olamide Zaccheaus\ZaccOl01,ATL,24,wr,17,8,53,31,0.585,406,13.1,3,22,49,7.7,1.8,23.9,0
118,Brandon Bolden\BoldBr00,NWE,31,rb,17,1,49,41,0.837,405,9.9,2,21,28,8.3,2.4,23.8,1
119,J.D. McKissic\McKiJ.00,WAS,28,rb,11,3,53,43,0.811,397,9.2,2,15,56,7.5,3.9,36.1,0
120,Josh Reynolds\ReynJo00,2TM,26,,12,5,49,29,0.592,396,13.7,2,21,39,8.1,2.4,33,0
121,Sammy Watkins\WatkSa00,BAL,28,wr,13,9,49,27,0.551,394,14.6,1,17,49,8,2.1,30.3,1
122,Aaron Jones\JoneAa00,GNB,27,RB,15,15,65,52,0.8,391,7.5,6,22,26,6,3.5,26.1,2
123,Zach Pascal\PascZa00,IND,27,WR,16,13,69,38,0.551,384,10.1,3,16,41,5.6,2.4,24,1
124,Adam Humphries\HumpAd00,WAS,28,WR,17,11,62,41,0.661,383,9.3,0,23,27,6.2,2.4,22.5,0
125,Tre'Quan Smith\SmitTr03,NOR,25,wr,11,6,50,32,0.64,377,11.8,3,18,34,7.5,2.9,34.3,1
126,James Conner*\ConnJa00,ARI,26,rb,15,6,39,37,0.949,375,10.1,3,18,45,9.6,2.5,25,2
127,Randall Cobb\CobbRa00,GNB,31,wr,12,3,39,28,0.718,375,13.4,5,21,54,9.6,2.3,31.3,1
128,Foster Moreau\MoreFo00,LVR,24,TE,17,11,44,30,0.682,373,12.4,3,16,44,8.5,1.8,21.9,1
129,Ty Johnson\JohnTy02,NYJ,24,rb,16,3,55,34,0.618,372,10.9,2,20,23,6.8,2.1,23.3,2
130,Sterling Shepard\ShepSt00,NYG,28,wr,7,6,53,36,0.679,366,10.2,1,19,37,6.9,5.1,52.3,0
131,Jonathan Taylor*+\TaylJo02,IND,22,RB,17,17,51,40,0.784,360,9,2,12,76,7.1,2.4,21.2,4
132,Tyler Johnson\JohnTy00,TAM,23,wr,17,3,55,36,0.655,360,10,0,14,31,6.5,2.1,21.2,0
133,Durham Smythe\SmytDu00,MIA,26,TE,17,12,41,34,0.829,357,10.5,0,15,25,8.7,2,21,0
134,Josh Palmer\PalmJo00,LAC,23,wr,17,5,49,33,0.673,353,10.7,4,18,36,7.2,1.9,20.8,0
135,Josh Jacobs\JacoJo01,LVR,23,RB,15,14,64,54,0.844,348,6.4,0,14,29,5.4,3.6,23.2,2
136,Austin Hooper\HoopAu00,CLE,27,TE,16,16,61,38,0.623,345,9.1,3,18,34,5.7,2.4,21.6,0
137,Christian McCaffrey\McCaCh01,CAR,25,rb,7,7,41,37,0.902,343,9.3,1,21,32,8.4,5.3,49,1
138,Freddie Swain\SwaiFr00,SEA,23,wr,17,8,40,25,0.625,343,13.7,4,12,68,8.6,1.5,20.2,1
139,Darius Slayton\SlayDa01,NYG,24,wr,13,5,58,26,0.448,339,13,2,14,42,5.8,2,26.1,1
140,Tony Pollard\PollTo00,DAL,24,,15,0,46,39,0.848,337,8.6,0,15,32,7.3,2.6,22.5,2
141,T.Y. Hilton\HiltT.00,IND,32,wr,10,9,37,23,0.622,331,14.4,3,15,52,8.9,2.3,33.1,0
142,Albert Okwuegbunam\OkwuAl00,DEN,23,te,14,6,40,33,0.825,330,10,2,15,64,8.3,2.4,23.6,1
143,Damiere Byrd\ByrdDa00,CHI,28,wr,17,4,38,26,0.684,329,12.7,1,18,54,8.7,1.5,19.4,1
144,Michael Carter\CartMi03,NYJ,22,RB,14,11,55,36,0.655,325,9,0,16,23,5.9,2.6,23.2,1
145,Chris Conley\ConlCh00,HOU,29,wr,16,10,37,22,0.595,323,14.7,2,15,41,8.7,1.4,20.2,1
146,Javonte Williams\WillJa10,DEN,21,rb,17,1,53,43,0.811,316,7.3,3,12,42,6,2.5,18.6,2
147,Mo Alie-Cox\AlieMo00,IND,28,te,17,7,45,24,0.533,316,13.2,4,14,37,7,1.4,18.6,1
148,Joe Mixon*\MixoJo00,CIN,25,RB,16,16,48,42,0.875,314,7.5,3,11,52,6.5,2.6,19.6,2
149,AJ Dillon\DillAJ00,GNB,23,rb,17,2,37,34,0.919,313,9.2,2,15,50,8.5,2,18.4,2
150,Marquise Goodwin\GoodMa00,CHI,31,wr,14,2,40,20,0.5,313,15.7,1,12,50,7.8,1.4,22.4,1
151,Chase Edmonds\EdmoCh00,ARI,25,RB,12,11,53,43,0.811,311,7.2,0,11,36,5.9,3.6,25.9,1
152,Nyheim Hines\HineNy00,IND,25,rb,17,4,57,40,0.702,310,7.8,1,15,36,5.4,2.4,18.2,3
153,Jack Doyle\DoylJa00,IND,31,,17,14,43,29,0.674,302,10.4,3,18,34,7,1.7,17.8,0
154,David Montgomery\MontDa01,CHI,24,RB,13,13,51,42,0.824,301,7.2,0,18,16,5.9,3.2,23.2,1
155,Chester Rogers\RogeCh02,TEN,27,wr,16,2,43,30,0.698,301,10,1,12,39,7,1.9,18.8,4
156,Jalen Reagor\ReagJa00,PHI,22,WR,17,13,57,33,0.579,299,9.1,2,13,34,5.2,1.9,17.6,2
157,Kyle Juszczyk*\JuszKy00,SFO,30,FB,17,16,38,30,0.789,296,9.9,1,16,26,7.8,1.8,17.4,0
158,DeAndre Carter\CartDe02,WAS,28,wr,17,6,44,24,0.545,296,12.3,3,17,26,6.7,1.4,17.4,3
159,Antonio Gibson\GibsAn00,WAS,23,RB,16,14,52,42,0.808,294,7,3,12,73,5.7,2.6,18.4,6
