Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds?,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb
326,Godwin Igwebuike\IgweGo00,DET,27,rb,17,1,10,7,0.7,60,8.6,0,4,18,6,0.4,3.5,2
327,Penny Hart\HartPe01,SEA,25,,17,0,12,7,0.583,59,8.4,0,3,16,4.9,0.4,3.5,0
328,Juwann Winfree\WinfJu00,GNB,25,,7,0,13,8,0.615,58,7.3,0,5,12,4.5,1.1,8.3,2
329,Keith Smith\SmitKe03,ATL,29,fb,17,8,10,9,0.9,56,6.2,0,3,11,5.6,0.5,3.3,0
330,Luke Farrell\FarrLu00,JAX,24,te,15,4,11,7,0.636,56,8,0,3,21,5.1,0.5,3.7,1
331,Jason Moore\MoorJa02,LAC,26,wr,2,1,4,3,0.75,56,18.7,0,3,24,14,1.5,28,0
332,Jacob Hollister\HollJa03,JAX,28,te,7,2,14,9,0.643,55,6.1,1,2,11,3.9,1.3,7.9,0
333,Alex Erickson\EricAl01,CAR,29,,17,0,4,3,0.75,55,18.3,0,2,25,13.8,0.2,3.2,0
334,Tom Kennedy\KennTo01,DET,25,,12,0,10,6,0.6,54,9,0,2,15,5.4,0.5,4.5,0
335,Craig Reynolds\ReynCr00,DET,25,,5,2,8,7,0.875,52,7.4,0,3,14,6.5,1.4,10.4,0
336,Mike Thomas\ThomMi04,CIN,27,wr,12,1,11,5,0.455,52,10.4,0,3,19,4.7,0.4,4.3,0
337,Charlie Woerner\WoerCh00,SFO,24,te,17,3,6,5,0.833,52,10.4,0,3,27,8.7,0.3,3.1,0
338,Taysom Hill\HillTa00,NOR,31,qb,12,9,6,4,0.667,52,13,0,4,15,8.7,0.3,4.3,2
339,C.J. Board\BoarC.00,NYG,28,wr,6,1,6,4,0.667,51,12.8,0,3,38,8.5,0.7,8.5,0
340,Ross Dwelley\DwelRo00,SFO,26,te,17,2,5,4,0.8,51,12.8,1,2,21,10.2,0.2,3,0
341,Tevin Coleman\ColeTe01,NYJ,28,rb,11,5,16,11,0.688,49,4.5,0,2,11,3.1,1,4.5,0
342,Dez Fitzpatrick\FitzDe00,TEN,24,,4,0,8,5,0.625,49,9.8,1,4,18,6.1,1.3,12.3,0
343,Rashaad Penny\PennRa00,SEA,25,rb,10,6,8,6,0.75,48,8,0,3,27,6,0.6,4.8,0
344,Rodney Smith\SmitRo08,CAR,25,,2,0,5,5,1,48,9.6,0,2,17,9.6,2.5,24,0
345,Eric Saubert\SaubEr00,DEN,27,te,17,4,12,8,0.667,47,5.9,1,2,11,3.9,0.5,2.8,0
346,Antony Auclair\AuclAn00,HOU,28,TE,16,13,5,5,1,47,9.4,1,2,15,9.4,0.3,2.9,0
347,Joe Fortson\FortJo01,KAN,26,,6,0,5,5,1,47,9.4,2,3,27,9.4,0.8,7.8,0
348,Tre' McKitty\McKiTr00,LAC,22,te,11,4,8,6,0.75,45,7.5,0,3,12,5.6,0.5,4.1,0
349,Phillip Lindsay\LindPh00,2TM,27,,14,1,5,4,0.8,45,11.3,1,1,22,9,0.3,3.2,0
350,Amari Rodgers\RodgAm00,GNB,22,wr,16,1,8,4,0.5,45,11.3,0,2,19,5.6,0.3,2.8,2
351,Tommy Sweeney\SweeTo00,BUF,26,te,13,3,12,9,0.75,44,4.9,1,3,13,3.7,0.7,3.4,1
352,Jaelon Darden\DardJa00,TAM,22,,9,0,12,6,0.5,43,7.2,0,1,29,3.6,0.7,4.8,0
353,Parker Hesse\HessPa00,ATL,26,te,8,1,6,5,0.833,43,8.6,0,3,17,7.2,0.6,5.4,0
354,Darren Fells\FellDa01,2TM,35,,9,5,5,4,0.8,43,10.8,0,2,24,8.6,0.4,4.8,0
355,Jakob Johnson\JohnJa12,NWE,27,fb,17,6,5,4,0.8,43,10.8,0,2,29,8.6,0.2,2.5,0
356,Eno Benjamin\BenjEn00,ARI,22,,9,0,7,6,0.857,42,7,0,4,12,6,0.7,4.7,0
357,Kristian Wilkerson\WilkKr00,NWE,24,wr,3,1,8,4,0.5,42,10.5,2,2,20,5.3,1.3,14,0
358,Chris Hogan\HogaCh00,NOR,34,,5,1,8,4,0.5,41,10.3,1,2,16,5.1,0.8,8.2,0
359,Duke Johnson\JohnDu00,MIA,28,rb,5,4,5,4,0.8,41,10.3,0,3,20,8.2,0.8,8.2,0
360,Trent Taylor\TaylTr02,CIN,27,,4,0,3,2,0.667,41,20.5,0,2,26,13.7,0.5,10.3,0
361,Chris Herndon\HernCh00,MIN,25,te,16,5,7,4,0.571,40,10,1,4,17,5.7,0.3,2.5,0
362,Garrett Griffin\GrifGa00,NOR,27,te,13,6,4,4,1,39,9.8,0,2,14,9.8,0.3,3,1
363,Auden Tate\TateAu00,CIN,24,,7,0,4,3,0.75,39,13,1,3,18,9.8,0.4,5.6,0
364,Joshua Kelley\KellJo01,LAC,24,,10,0,6,5,0.833,38,7.6,0,1,17,6.3,0.5,3.8,1
365,Scott Miller\MillSc01,TAM,24,,9,0,9,5,0.556,38,7.6,0,2,13,4.2,0.6,4.2,0
366,Willie Snead\SneaWi00,2TM,29,,9,0,8,4,0.5,38,9.5,0,3,15,4.8,0.4,4.2,0
367,Kevin White\WhitKe00,NOR,29,wr,6,1,5,1,0.2,38,38,0,1,38,7.6,0.2,6.3,0
368,Kendall Blanton\BlanKe01,LAR,26,te,11,2,7,4,0.571,37,9.3,0,2,23,5.3,0.4,3.4,1
369,Noah Gray\GrayNo00,KAN,22,te,16,1,10,7,0.7,36,5.1,1,2,8,3.6,0.4,2.3,0
370,D.J. Montgomery\MontDJ01,NYJ,25,,3,0,6,3,0.5,36,12,0,2,14,6,1,12,0
371,JJ Arcega-Whiteside\ArceJJ00,PHI,25,wr,16,2,5,2,0.4,36,18,0,2,23,7.2,0.1,2.3,0
372,Kenny Yeboah\YeboKe00,NYJ,23,,9,0,3,2,0.667,36,18,0,2,24,12,0.2,4,0
373,Tyler Davis\DaviTy02,GNB,24,,14,0,5,4,0.8,35,8.8,0,1,22,7,0.3,2.5,0
374,Trevon Wesco\WescTr00,NYJ,26,te,12,7,5,3,0.6,35,11.7,0,2,19,7,0.3,2.9,0
375,Andre Roberts\RobeAn00,2TM,33,,16,0,2,1,0.5,35,35,0,1,35,17.5,0.1,2.2,3
376,Jonathan Ward\WardJo00,ARI,24,,13,0,4,3,0.75,34,11.3,0,1,23,8.5,0.2,2.6,0
377,Shane Zylstra\ZylsSh00,DET,25,,4,0,7,3,0.429,34,11.3,0,2,16,4.9,0.8,8.5,0
378,Dominique Dafney\DafnDo00,GNB,24,te,10,2,4,2,0.5,34,17,0,2,26,8.5,0.2,3.4,0
379,Trenton Irwin\IrwiTr00,CIN,26,,7,0,5,2,0.4,34,17,0,1,25,6.8,0.3,4.9,0
380,Seth Williams\WillSe00,DEN,21,wr,2,1,1,1,1,34,34,0,1,34,34,0.5,17,0
381,Colby Parkinson\ParkCo02,SEA,22,te,14,1,8,5,0.625,33,6.6,0,2,12,4.1,0.4,2.4,0
382,Cody White\WhitCo05,PIT,23,,15,0,6,5,0.833,33,6.6,0,3,11,5.5,0.3,2.2,0
383,Pharoh Cooper\CoopPh00,NYG,26,,8,0,11,4,0.364,33,8.3,0,1,15,3,0.5,4.1,0
384,Cody Hollister\HollCo00,TEN,28,wr,3,1,7,4,0.571,33,8.3,0,4,14,4.7,1.3,11,0
385,Kaden Smith\SmitKa00,NYG,24,,9,4,3,3,1,33,11,0,1,21,11,0.3,3.7,0
386,Josh Gordon\GordJo02,KAN,30,wr,12,7,14,5,0.357,32,6.4,1,3,11,2.3,0.4,2.7,0
387,Jeff Wilson\WilsJe01,SFO,26,rb,9,4,8,7,0.875,31,4.4,0,1,11,3.9,0.8,3.4,1
388,Michael Burton\BurtMi00,KAN,29,,16,0,3,3,1,31,10.3,0,2,20,10.3,0.2,1.9,0
389,Tommy Hudson\HudsTo00,TEN,24,,5,0,6,3,0.5,31,10.3,0,2,14,5.2,0.6,6.2,0
390,Jeremy Sprinkle\SpriJe00,DAL,27,te,17,4,3,3,1,31,10.3,0,2,11,10.3,0.2,1.8,0
391,Gunner Olszewski\OlszGu00,NWE,25,,16,0,3,2,0.667,31,15.5,0,2,22,10.3,0.1,1.9,3
392,Elijhaa Penny\PennEl00,NYG,28,rb,17,3,13,9,0.692,30,3.3,1,4,16,2.3,0.5,1.8,0
393,Le'Veon Bell\BellLe00,2TM,29,,8,0,7,5,0.714,30,6,1,3,15,4.3,0.6,3.8,0
394,K.J. Hill\HillKJ00,LAC,24,,6,0,3,3,1,30,10,0,1,19,10,0.5,5,0
395,Chris Carson\CarsCh00,SEA,27,rb,4,4,6,6,1,29,4.8,0,1,16,4.8,1.5,7.3,1
396,Corey Clement\ClemCo00,DAL,27,,17,0,7,6,0.857,29,4.8,1,1,8,4.1,0.4,1.7,0
397,Tony Jones\JoneTo04,NOR,24,rb,11,4,8,5,0.625,29,5.8,0,2,19,3.6,0.5,2.6,0
398,Daniel Brown\BrowDa04,NYJ,29,,12,0,2,2,1,29,14.5,0,1,24,14.5,0.2,2.4,0
399,Jonathan Williams\WillJo07,WAS,27,,5,0,6,4,0.667,28,7,0,2,19,4.7,0.8,5.6,0
400,Jake Kumerow\KumeJa00,BUF,29,wr,15,2,6,2,0.333,28,14,0,2,15,4.7,0.1,1.9,0
401,Curtis Samuel\SamuCu00,WAS,25,wr,5,1,9,6,0.667,27,4.5,0,4,10,3,1.2,5.4,0
402,Sean McKeon\McKeSe01,DAL,24,te,9,2,6,4,0.667,27,6.8,1,2,12,4.5,0.4,3,0
403,Will Fuller\FullWi01,MIA,27,,2,0,8,4,0.5,26,6.5,0,3,10,3.3,2,13,0
404,Ke'Shawn Vaughn\VaugKe00,TAM,24,rb,12,1,8,4,0.5,26,6.5,0,1,8,3.3,0.3,2.2,0
405,Trey Sermon\SermTr00,SFO,22,rb,9,2,4,3,0.75,26,8.7,0,1,23,6.5,0.3,2.9,0
406,Mike Strachan\StraMi03,IND,24,,6,0,3,2,0.667,26,13,0,2,16,8.7,0.3,4.3,0
407,Anthony Miller\MillAn02,2TM,27,,3,1,12,6,0.5,25,4.2,1,3,10,2.1,2,8.3,0
408,Christian Blake\BlakCh00,ATL,25,,16,0,9,4,0.444,25,6.3,0,2,8,2.8,0.3,1.6,0
409,Marcus Kemp\KempMa00,KAN,26,,16,0,5,2,0.4,24,12,0,1,16,4.8,0.1,1.5,0
410,Jermar Jefferson\JeffJe00,DET,21,,7,0,5,4,0.8,23,5.8,0,2,11,4.6,0.6,3.3,0
411,Reggie Gilliam\GillRe00,BUF,24,fb,16,5,5,3,0.6,23,7.7,0,0,8,4.6,0.2,1.4,0
412,Dazz Newsome\NewsDa00,CHI,22,wr,3,1,5,2,0.4,23,11.5,0,1,13,4.6,0.7,7.7,0
413,Tylan Wallace\WallTy00,BAL,22,wr,17,1,6,2,0.333,23,11.5,0,1,18,3.8,0.1,1.4,0
414,Wendell Smallwood\SmalWe00,WAS,27,,3,0,5,4,0.8,22,5.5,0,0,7,4.4,1.3,7.3,0
415,Jack Stoll\StolJa00,PHI,23,te,16,5,5,4,0.8,22,5.5,0,0,9,4.4,0.3,1.4,0
416,Tyree Jackson\JackTy01,PHI,24,te,9,3,7,3,0.429,22,7.3,1,2,13,3.1,0.3,2.4,0
417,Mike Boone\BoonMi00,DEN,26,,8,0,2,2,1,22,11,0,1,19,11,0.3,2.8,0
418,Jesper Horsted\HorsJe00,CHI,24,,7,0,3,2,0.667,21,10.5,2,2,19,7,0.3,3,0
419,Dezmon Patmon\PatmDe00,IND,23,,8,0,4,2,0.5,21,10.5,1,1,14,5.3,0.3,2.6,0
420,Garrett Bradbury\BradGa00,MIN,26,C,13,13,1,1,1,21,21,0,1,21,21,0.1,1.6,0
421,Wayne Gallman\GallWa00,2TM,27,,8,0,3,1,0.333,21,21,0,1,21,7,0.1,2.6,0
422,Nick Bawden\BawdNi00,NYJ,25,fb,9,1,1,1,1,20,20,0,1,20,20,0.1,2.2,0
423,Jordan Howard\HowaJo00,PHI,27,,7,0,5,2,0.4,19,9.5,0,2,10,3.8,0.3,2.7,0
424,Keith Kirkwood\KirkKe00,CAR,27,,3,0,7,3,0.429,17,5.7,0,1,7,2.4,1,5.7,0
425,Patrick Laird\LairPa00,MIA,26,,6,0,3,3,1,17,5.7,0,2,10,5.7,0.5,2.8,0
426,Chris Myarick\MyarCh00,NYG,26,te,8,3,6,3,0.5,17,5.7,1,2,10,2.8,0.4,2.1,0
427,Gabe Nabers\NabeGa00,LAC,24,fb,10,1,3,3,1,17,5.7,0,0,8,5.7,0.3,1.7,0
428,David Sills\SillDa01,NYG,25,wr,4,1,6,2,0.333,17,8.5,0,1,12,2.8,0.5,4.3,0
429,Davion Davis\DaviDa03,HOU,25,wr,2,1,3,1,0.333,17,17,0,1,17,5.7,0.5,8.5,0
430,Bobby Price\PricBo00,DET,23,s,15,2,1,1,1,17,17,0,1,17,17,0.1,1.1,0
431,Jason Cabinda\CabiJa00,DET,25,fb,14,4,7,4,0.571,16,4,1,2,6,2.3,0.3,1.1,0
432,Ryquell Armstead\ArmsRy00,JAX,25,,2,0,4,3,0.75,16,5.3,0,1,9,4,1.5,8,0
433,Adam Prentice\PrenAd00,NOR,24,fb,7,3,3,3,1,16,5.3,0,1,10,5.3,0.4,2.3,0
434,Mitchell Wilcox\WilcMi01,CIN,25,te,15,1,5,3,0.6,16,5.3,0,0,8,3.2,0.2,1.1,0
435,Cethan Carter\CartCe00,MIA,26,te,16,1,2,2,1,16,8,0,0,8,8,0.1,1,0
436,Tyron Johnson\JohnTy03,2TM,25,,10,0,5,2,0.4,16,8,0,1,10,3.2,0.2,1.6,0
437,Daniel Jones\JoneDa05,NYG,24,QB,11,11,1,1,1,16,16,0,1,16,16,0.1,1.5,7
438,Greg Dortch\DortGr01,ARI,23,wr,5,2,3,3,1,15,5,0,0,10,5,0.6,3,0
439,Derek Watt\WattDe00,PIT,29,fb,17,4,3,3,1,15,5,0,0,9,5,0.2,0.9,0
440,Cameron Batson\BatsCa00,TEN,26,,4,0,5,2,0.4,15,7.5,1,2,13,3,0.5,3.8,0
441,Jaylen Samuels\SamuJa00,HOU,25,,3,0,4,3,0.75,14,4.7,0,1,6,3.5,1,4.7,0
442,Malik Taylor\TaylMa01,GNB,26,,10,0,3,2,0.667,14,7,0,1,7,4.7,0.2,1.4,1
443,Tyrell Williams\WillTy00,DET,29,,1,1,3,2,0.667,14,7,0,1,7,4.7,2,14,0
444,Frank Darby\DarbFr00,ATL,24,,10,0,4,1,0.25,14,14,0,1,14,3.5,0.1,1.4,0
445,Derek Carrier\CarrDe00,LVR,31,te,5,1,2,2,1,13,6.5,0,0,9,6.5,0.4,2.6,0
446,Benny Snell Jr.\SnelBe00,PIT,23,,17,0,4,2,0.5,13,6.5,0,0,7,3.3,0.1,0.8,0
447,Andy Isabella\IsabAn00,ARI,25,,8,0,1,1,1,13,13,0,1,13,13,0.1,1.6,0
448,Kirk Merritt\MerrKi00,MIA,24,,2,0,3,1,0.333,13,13,0,1,13,4.3,0.5,6.5,0
449,Qadree Ollison\OlliQa00,ATL,25,,8,0,6,4,0.667,12,3,0,1,8,2,0.5,1.5,1
450,Reggie Bonnafon\BonnRe00,CAR,25,,4,0,2,2,1,12,6,0,1,6,6,0.5,3,0
451,Luke Stocker\StocLu00,MIN,33,,12,0,2,2,1,12,6,0,0,7,6,0.2,1,0
452,Dwayne Washington\WashDw00,NOR,27,,14,0,2,2,1,12,6,0,0,6,6,0.1,0.9,0
453,Darrynton Evans\EvanDa02,TEN,23,,1,0,2,2,1,11,5.5,0,1,6,5.5,2,11,0
454,Stanley Morgan Jr.\MorgSt02,CIN,25,wr,17,1,4,2,0.5,11,5.5,0,0,8,2.8,0.1,0.6,0
455,Richard Rodgers\RodgRi00,PHI,29,,3,0,2,2,1,11,5.5,0,0,9,5.5,0.7,3.7,0
456,C.J. Saunders\SaunCJ00,CAR,25,,2,0,2,2,1,11,5.5,0,1,8,5.5,1,5.5,0
457,Anthony McFarland Jr.\McFaAn00,PIT,22,,2,0,1,1,1,11,11,0,1,11,11,0.5,5.5,0
458,Cam Akers\AkerCa00,LAR,22,,1,0,3,3,1,10,3.3,0,0,6,3.3,3,10,0
459,Malcolm Brown\BrowMa03,MIA,28,rb,7,3,5,3,0.6,10,3.3,0,0,7,2,0.4,1.4,0
460,Demetrius Harris\HarrDe03,ARI,30,te,14,4,6,3,0.5,10,3.3,0,0,7,1.7,0.2,0.7,0
461,Jaydon Mickens\MickJa01,2TM,27,,11,0,3,2,0.667,10,5,0,1,12,3.3,0.2,0.9,1
462,Tarik Black\BlacTa00,NYJ,23,,1,0,2,1,0.5,10,10,0,1,10,5,1,10,0
463,Marvin Hall\HallMa02,ATL,28,,2,0,1,1,1,10,10,0,1,10,10,0.5,5,0
464,Kene Nwangwu\NwanKe00,MIN,23,,11,0,5,4,0.8,9,2.3,0,0,6,1.8,0.4,0.8,0
465,Andy Janovich\JanoAn00,CLE,28,fb,13,3,4,3,0.75,9,3,0,1,3,2.3,0.2,0.7,0
466,Scottie Phillips\PhilSc01,HOU,24,,3,0,3,2,0.667,9,4.5,0,0,8,3,0.7,3,0
467,Austin Walter\WaltAu00,NYJ,25,,4,0,3,2,0.667,9,4.5,0,1,11,3,0.5,2.3,0
468,Brycen Hopkins\HopkBr01,LAR,24,,5,0,1,1,1,9,9,0,1,9,9,0.2,1.8,0
469,Johnny Mundt\MundJo00,LAR,27,,6,0,1,1,1,9,9,0,1,9,9,0.2,1.5,0
470,Adrian Peterson\PeteAd01,2TM,36,,4,3,4,4,1,8,2,0,0,5,2,1,2,1
471,J.J. Taylor\TaylJJ01,NWE,23,,5,0,4,4,1,8,2,0,0,5,2,0.8,1.6,1
472,Kalen Ballage\BallKa00,PIT,26,,17,0,7,2,0.286,8,4,0,0,6,1.1,0.1,0.5,0
473,Marlon Mack\MackMa00,IND,25,,6,0,5,2,0.4,8,4,0,0,7,1.6,0.3,1.3,0
474,Racey McMath\McMaRa00,TEN,22,,9,0,6,2,0.333,8,4,0,0,9,1.3,0.2,0.9,1
475,Kevin Rader\RadeKe00,PIT,26,te,6,1,3,2,0.667,8,4,0,0,7,2.7,0.3,1.3,0
476,Ethan Wolf\WolfEt00,NOR,26,te,2,1,2,2,1,8,4,0,0,4,4,1,4,0
477,Hunter Long\LongHu00,MIA,23,te,7,2,3,1,0.333,8,8,0,0,8,2.7,0.1,1.1,0
478,Johnny Stanton\StanJo02,CLE,27,,4,0,2,2,1,7,3.5,1,1,6,3.5,0.5,1.8,0
479,Tommylee Lewis\LewiTo00,MIA,29,,2,0,2,1,0.5,7,7,0,1,7,3.5,0.5,3.5,0
480,Devine Ozigbo\OzigDe01,2TM,25,,3,0,1,1,1,7,7,0,1,7,7,0.3,2.3,0
481,Eric Tomlinson\TomlEr01,BAL,29,te,17,7,1,1,1,7,7,0,0,7,7,0.1,0.4,0
482,Trey Ragas\RagaTr00,LVR,25,,1,0,2,2,1,6,3,0,0,4,3,2,6,0
483,Miles Boykin\BoykMi00,BAL,25,,8,0,1,1,1,6,6,0,0,6,6,0.1,0.8,0
484,Gary Brightwell\BrigGa00,NYG,22,,13,0,1,1,1,6,6,0,0,6,6,0.1,0.5,0
485,Amani Hooker\HookAm00,TEN,23,DB,12,12,1,1,1,6,6,0,1,6,6,0.1,0.5,0
486,Keke Coutee\CoutKe00,IND,24,,2,0,1,1,1,5,5,0,0,5,5,0.5,2.5,0
487,Kylin Hill\HillKy00,GNB,23,,8,0,2,1,0.5,5,5,0,0,5,2.5,0.1,0.6,0
488,Lane Johnson\JohnLa01,PHI,31,T,13,13,1,1,1,5,5,1,1,5,5,0.1,0.4,0
489,Easop Winston\WinsEa00,NOR,25,,3,1,1,1,1,5,5,0,0,5,5,0.3,1.7,0
490,Khari Blasingame\BlasKh00,TEN,25,fb,11,3,2,2,1,4,2,0,0,5,2,0.2,0.4,1
491,Taylor Decker\DeckTa00,DET,28,t,9,9,2,2,1,4,2,1,1,6,2,0.2,0.4,0
492,Nick Bellore\BellNi01,SEA,32,,17,0,1,1,1,4,4,0,0,4,4,0.1,0.2,0
493,Ryan Nall\NallRy00,CHI,26,,9,0,1,1,1,4,4,0,0,4,4,0.1,0.4,0
494,Trayveon Williams\WillTr06,CIN,24,,5,0,2,1,0.5,4,4,0,0,4,2,0.2,0.8,0
495,Patrick Taylor\TaylPa01,GNB,23,,9,0,2,2,1,3,1.5,0,1,3,1.5,0.2,0.3,0
496,Nick Boyle\BoylNi00,BAL,28,te,5,3,2,1,0.5,2,2,0,0,2,1,0.2,0.4,0
497,Danny Pinter\PintDa00,IND,25,g,16,3,1,1,1,2,2,1,1,2,2,0.1,0.1,0
498,Andrew Thomas\ThomAn02,NYG,22,T,13,13,1,1,1,2,2,1,1,2,2,0.1,0.2,0
499,Alex Armah\ArmaAl00,2TM,27,,11,2,1,1,1,1,1,1,1,1,1,0.1,0.1,0
500,Drew Lock\LockDr00,DEN,25,qb,6,3,1,1,1,1,1,0,0,1,1,0.2,0.2,2
501,Conor McDermott\McDeCo00,NYJ,29,ol,6,3,1,1,1,1,1,1,1,1,1,0.2,0.2,0
502,Terence Steele\SteeTe01,DAL,24,T,16,13,1,1,1,1,1,1,1,1,1,0.1,0.1,0
503,Christian Wilkins\WilkCh00,MIA,26,DT,17,17,1,1,1,1,1,1,1,1,1,0.1,0.1,1
504,Darrell Daniels\DaniDa02,ARI,27,te,15,4,4,1,0.25,0,0,0,0,0,0,0.1,0,0
505,Deon Yelder\YeldDe00,TAM,26,,5,0,1,1,1,0,0,0,0,0,0,0.2,0,0
506,Daniel Helm\HelmDa01,LVR,26,te,9,1,2,1,0.5,-1,-1,0,0,0,-0.5,0.1,-0.1,0
507,Larry Rountree\RounLa00,LAC,22,,12,0,2,1,0.5,-1,-1,0,0,0,-0.5,0.1,-0.1,0
508,Taylor Heinicke\HeinTa00,WAS,28,QB,16,15,1,1,1,-2,-2,0,0,-2,-2,0.1,-0.1,7
509,Mike Remmers\RemmMi00,KAN,32,t,4,2,1,1,1,-2,-2,0,0,-2,-2,0.3,-0.5,0
510,Diontae Spencer\SpenDi00,DEN,29,,15,0,4,1,0.25,-3,-3,0,0,0,-0.8,0.1,-0.2,2
511,Aaron Rodgers*+\RodgAa00,GNB,38,QB,16,16,1,1,1,-4,-4,0,0,-4,-4,0.1,-0.3,3
